X_precipitation_t1,X_T2MMEAN_t1,X_RelHumSurf_t1,X_CloudFrc_t1,X_Psurf_f_tavg_t1,X_precipitation_t2,X_T2MMEAN_t2,X_RelHumSurf_t2,X_CloudFrc_t2,X_Psurf_f_tavg_t2,X_precipitation_t3,X_T2MMEAN_t3,X_RelHumSurf_t3,X_CloudFrc_t3,X_Psurf_f_tavg_t3,X_precipitation_t4,X_T2MMEAN_t4,X_RelHumSurf_t4,X_CloudFrc_t4,X_Psurf_f_tavg_t4,X_precipitation_t5,X_T2MMEAN_t5,X_RelHumSurf_t5,X_CloudFrc_t5,X_Psurf_f_tavg_t5,X_precipitation_t6,X_T2MMEAN_t6,X_RelHumSurf_t6,X_CloudFrc_t6,X_Psurf_f_tavg_t6,X_precipitation_t7,X_T2MMEAN_t7,X_RelHumSurf_t7,X_CloudFrc_t7,X_Psurf_f_tavg_t7,X_precipitation_t8,X_T2MMEAN_t8,X_RelHumSurf_t8,X_CloudFrc_t8,X_Psurf_f_tavg_t8,X_precipitation_t9,X_T2MMEAN_t9,X_RelHumSurf_t9,X_CloudFrc_t9,X_Psurf_f_tavg_t9,X_precipitation_t10,X_T2MMEAN_t10,X_RelHumSurf_t10,X_CloudFrc_t10,X_Psurf_f_tavg_t10,date
1.1906067,299.08875,29.622126,0.39568108,93442.125,0.88568777,295.53976,37.522907,0.29319438,93535.82,1.1087362,293.64917,33.778034,0.52111447,93386.68,0.57561946,293.85242,37.548363,0.40667513,93360.84,0.042290986,296.01907,30.082216,0.26921627,93358.445,0.17273635,297.9026,31.489609,0.17551333,93421.86,0.28729993,299.33722,29.568727,0.30820304,93395.58,0.980403,299.25314,32.243797,0.43152758,93399.98,0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,2024-06-20
0.88568777,295.53976,37.522907,0.29319438,93535.82,1.1087362,293.64917,33.778034,0.52111447,93386.68,0.57561946,293.85242,37.548363,0.40667513,93360.84,0.042290986,296.01907,30.082216,0.26921627,93358.445,0.17273635,297.9026,31.489609,0.17551333,93421.86,0.28729993,299.33722,29.568727,0.30820304,93395.58,0.980403,299.25314,32.243797,0.43152758,93399.98,0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,2024-06-21
1.1087362,293.64917,33.778034,0.52111447,93386.68,0.57561946,293.85242,37.548363,0.40667513,93360.84,0.042290986,296.01907,30.082216,0.26921627,93358.445,0.17273635,297.9026,31.489609,0.17551333,93421.86,0.28729993,299.33722,29.568727,0.30820304,93395.58,0.980403,299.25314,32.243797,0.43152758,93399.98,0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,1.3839691,299.67487,25.760582,0.47856826,92898.38,2024-06-22
0.57561946,293.85242,37.548363,0.40667513,93360.84,0.042290986,296.01907,30.082216,0.26921627,93358.445,0.17273635,297.9026,31.489609,0.17551333,93421.86,0.28729993,299.33722,29.568727,0.30820304,93395.58,0.980403,299.25314,32.243797,0.43152758,93399.98,0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,1.3839691,299.67487,25.760582,0.47856826,92898.38,0.718465,302.2447,21.467916,0.37377316,92988.57,2024-06-23
0.042290986,296.01907,30.082216,0.26921627,93358.445,0.17273635,297.9026,31.489609,0.17551333,93421.86,0.28729993,299.33722,29.568727,0.30820304,93395.58,0.980403,299.25314,32.243797,0.43152758,93399.98,0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,1.3839691,299.67487,25.760582,0.47856826,92898.38,0.718465,302.2447,21.467916,0.37377316,92988.57,4.353674,300.50818,32.18872,0.7312822,93026.734,2024-06-24
0.17273635,297.9026,31.489609,0.17551333,93421.86,0.28729993,299.33722,29.568727,0.30820304,93395.58,0.980403,299.25314,32.243797,0.43152758,93399.98,0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,1.3839691,299.67487,25.760582,0.47856826,92898.38,0.718465,302.2447,21.467916,0.37377316,92988.57,4.353674,300.50818,32.18872,0.7312822,93026.734,0.08513943,300.49612,28.939722,0.22185951,93181.14,2024-06-25
0.28729993,299.33722,29.568727,0.30820304,93395.58,0.980403,299.25314,32.243797,0.43152758,93399.98,0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,1.3839691,299.67487,25.760582,0.47856826,92898.38,0.718465,302.2447,21.467916,0.37377316,92988.57,4.353674,300.50818,32.18872,0.7312822,93026.734,0.08513943,300.49612,28.939722,0.22185951,93181.14,0.3663031,303.44467,25.354355,0.10605671,93002.75,2024-06-26
0.980403,299.25314,32.243797,0.43152758,93399.98,0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,1.3839691,299.67487,25.760582,0.47856826,92898.38,0.718465,302.2447,21.467916,0.37377316,92988.57,4.353674,300.50818,32.18872,0.7312822,93026.734,0.08513943,300.49612,28.939722,0.22185951,93181.14,0.3663031,303.44467,25.354355,0.10605671,93002.75,0.08538793,304.48624,21.251411,0.13173434,92908.484,2024-06-27
0.20086089,296.25647,37.295822,0.15792505,93562.55,0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,1.3839691,299.67487,25.760582,0.47856826,92898.38,0.718465,302.2447,21.467916,0.37377316,92988.57,4.353674,300.50818,32.18872,0.7312822,93026.734,0.08513943,300.49612,28.939722,0.22185951,93181.14,0.3663031,303.44467,25.354355,0.10605671,93002.75,0.08538793,304.48624,21.251411,0.13173434,92908.484,1.5555062,304.3135,22.140423,0.33669636,92882.336,2024-06-28
0.021029703,296.65924,20.73194,0.05798786,93148.19,0.51205117,300.57495,21.460926,0.1352446,92747.94,1.3839691,299.67487,25.760582,0.47856826,92898.38,0.718465,302.2447,21.467916,0.37377316,92988.57,4.353674,300.50818,32.18872,0.7312822,93026.734,0.08513943,300.49612,28.939722,0.22185951,93181.14,0.3663031,303.44467,25.354355,0.10605671,93002.75,0.08538793,304.48624,21.251411,0.13173434,92908.484,1.5555062,304.3135,22.140423,0.33669636,92882.336,4.467344,301.40692,34.725834,0.50846606,92990.11,2024-06-29
